elapsed_time_s,tracking_error_m
2.669,0.0104
2.674,0.0052
2.679,0.0104
2.684,0.0052
2.689,0.0105
2.695,0.0051
2.700,0.0106
2.705,0.0050
2.709,0.0106
2.714,0.0050
2.719,0.0107
2.724,0.0049
2.729,0.0107
2.734,0.0048
2.739,0.0107
2.744,0.0047
2.749,0.0108
2.754,0.0047
2.759,0.0108
2.764,0.0046
2.769,0.0108
2.774,0.0045
2.779,0.0108
2.784,0.0044
2.789,0.0109
2.794,0.0043
2.800,0.0108
2.804,0.0043
2.809,0.0109
2.815,0.0042
2.819,0.0108
2.824,0.0041
2.829,0.0109
2.834,0.0041
2.839,0.0108
2.844,0.0039
2.849,0.0108
2.855,0.0039
2.859,0.0108
2.864,0.0038
2.869,0.0107
2.874,0.0037
2.879,0.0107
2.884,0.0036
2.889,0.0107
2.894,0.0035
2.899,0.0106
2.904,0.0035
2.910,0.0106
2.914,0.0034
2.919,0.0106
2.924,0.0033
2.929,0.0104
2.934,0.0032
2.939,0.0105
2.944,0.0031
2.949,0.0104
2.954,0.0031
2.959,0.0103
2.964,0.0030
2.969,0.0103
2.974,0.0030
2.980,0.0101
2.984,0.0029
2.989,0.0102
2.994,0.0029
2.999,0.0100
3.004,0.0027
3.009,0.0100
3.014,0.0027
3.019,0.0099
3.024,0.0026
3.029,0.0098
3.034,0.0025
3.039,0.0098
3.044,0.0025
3.049,0.0097
3.054,0.0025
3.060,0.0096
3.064,0.0024
3.069,0.0095
3.074,0.0024
3.079,0.0094
3.084,0.0023
3.089,0.0093
3.094,0.0023
3.099,0.0092
3.104,0.0022
3.109,0.0091
3.114,0.0022
3.119,0.0091
3.125,0.0022
3.129,0.0089
3.134,0.0022
3.139,0.0089
3.144,0.0021
3.149,0.0087
3.154,0.0021
3.159,0.0086
3.164,0.0021
3.169,0.0085
3.174,0.0021
3.179,0.0084
3.184,0.0021
3.190,0.0084
3.194,0.0021
3.199,0.0083
3.204,0.0021
3.209,0.0081
3.214,0.0021
3.219,0.0081
3.224,0.0021
3.229,0.0080
3.234,0.0021
3.239,0.0078
3.244,0.0022
3.249,0.0078
3.254,0.0022
3.259,0.0077
3.264,0.0022
3.269,0.0076
3.274,0.0023
3.279,0.0075
3.284,0.0023
3.289,0.0074
3.294,0.0023
3.299,0.0074
3.304,0.0023
3.309,0.0073
3.314,0.0024
3.320,0.0071
3.324,0.0024
3.329,0.0071
3.334,0.0024
3.339,0.0070
3.344,0.0025
3.349,0.0069
3.354,0.0025
3.359,0.0068
3.364,0.0025
3.369,0.0068
3.374,0.0026
3.379,0.0067
3.384,0.0026
3.389,0.0067
3.394,0.0027
3.400,0.0066
3.404,0.0027
3.409,0.0065
3.414,0.0027
3.419,0.0065
3.424,0.0028
3.429,0.0064
3.434,0.0028
3.439,0.0063
3.444,0.0028
3.449,0.0063
3.454,0.0029
3.459,0.0063
3.464,0.0029
3.469,0.0062
3.474,0.0030
3.479,0.0061
3.484,0.0030
3.489,0.0061
3.494,0.0030
3.499,0.0061
3.504,0.0031
3.509,0.0060
3.514,0.0030
3.519,0.0061
3.524,0.0031
3.529,0.0060
3.534,0.0032
3.539,0.0060
3.544,0.0032
3.549,0.0060
3.554,0.0032
3.559,0.0060
3.564,0.0032
3.570,0.0059
3.574,0.0033
